id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,calculated_host_listings_count,Entire home/apt,Hotel room,Private room,Shared room,neighbourhood_labels
11067047,247,1,0,0.0,364,1,1,0,0,0,8
11077262,299,1,1,0.02,0,1,1,0,0,0,6
11078226,1502,10,0,0.0,365,1,1,0,0,0,6
11079283,92,1,8,0.15,365,6,0,0,0,1,3
11079431,199,1,0,0.0,0,1,0,0,1,0,5
11082100,1001,1,0,0.0,0,1,1,0,0,0,5
11084306,122,2,0,0.0,0,2,0,0,1,0,8
11084367,653,1,0,0.0,0,1,1,0,0,0,6
11084979,548,1,0,0.0,0,1,1,0,0,0,3
11085173,121,1,9,0.2,360,11,0,0,0,1,6
11085234,144,1,2,0.04,0,3,0,0,1,0,3
11085485,183,1,1,0.02,0,3,0,0,1,0,3
11085607,551,15,0,0.0,1,2,1,0,0,0,6
11085641,121,4,2,0.04,365,11,0,0,0,1,6
11086914,346,3,10,0.2,180,1,1,0,0,0,6
11093316,498,7,0,0.0,0,1,1,0,0,0,9
11093527,155,3,1,0.03,180,6,1,0,0,0,3
11095495,181,25,1,0.02,365,1,0,0,1,0,6
11096664,481,1,0,0.0,0,1,0,0,1,0,3
11096932,88,1,3,0.06,365,6,0,0,0,1,3
11097248,210,3,0,0.0,0,1,1,0,0,0,3
11098370,382,2,3,0.07,0,1,1,0,0,0,6
11098407,448,3,0,0.0,353,3,1,0,0,0,9
11101567,594,5,0,0.0,89,1,0,0,1,0,1
11102062,148,1,0,0.0,365,2,0,0,1,0,3
11103543,220,1,6,0.13,364,2,0,0,1,0,3
11103601,702,15,0,0.0,0,1,1,0,0,0,5
11103742,198,1,3,0.07,365,6,0,0,1,0,3
11108553,100,1,0,0.0,0,1,1,0,0,0,6
11113086,1974,7,0,0.0,0,1,1,0,0,0,6
11113562,348,5,2,0.04,0,1,1,0,0,0,6
11122948,525,1,6,0.13,0,1,1,0,0,0,3
11123107,498,15,1,0.02,0,1,1,0,0,0,6
11124108,1952,4,0,0.0,0,3,1,0,0,0,3
11130831,181,3,28,0.85,237,1,1,0,0,0,6
11131495,288,2,7,0.15,299,1,1,0,0,0,3
11137255,216,3,1,0.02,0,1,1,0,0,0,3
11140198,1648,3,0,0.0,0,1,1,0,0,0,5
11147090,133,1,2,0.04,365,3,0,0,1,0,3
11152355,398,1,45,0.99,356,1,1,0,0,0,9
11154320,802,2,0,0.0,0,1,0,0,1,0,6
11154642,1200,1,0,0.0,0,1,1,0,0,0,8
11156734,879,3,0,0.0,0,1,1,0,0,0,6
11156804,88,3,40,0.78,25,2,1,0,0,0,3
11164957,432,2,6,0.18,0,1,1,0,0,0,5
11165058,680,5,0,0.0,0,1,1,0,0,0,3
11165348,852,1,14,0.27,296,2,1,0,0,0,3
11166230,1726,6,0,0.0,0,1,1,0,0,0,1
11166640,1499,1,2,0.04,0,1,1,0,0,0,6
11166940,879,1,0,0.0,0,1,1,0,0,0,9
11177161,1248,15,0,0.0,179,1,1,0,0,0,5
11177812,400,3,8,0.17,0,1,1,0,0,0,6
11178084,194,3,45,0.9,178,1,1,0,0,0,3
11178741,1659,1,0,0.0,0,1,1,0,0,0,6
11179641,1377,5,2,0.13,363,1,1,0,0,0,3
11180599,148,2,9,0.19,364,1,0,0,1,0,3
11180806,260,1,5,0.53,365,2,0,0,1,0,3
11182705,1001,15,1,0.02,365,1,1,0,0,0,6
11182746,719,5,10,0.21,0,1,1,0,0,0,9
11182781,148,3,67,1.45,165,2,1,0,0,0,6
11184226,299,5,0,0.0,362,1,1,0,0,0,3
11185201,77,1,12,0.25,90,1,1,0,0,0,3
11185298,121,1,5,0.11,180,1,0,0,1,0,6
11185708,600,7,35,0.69,125,1,1,0,0,0,3
11186512,803,15,0,0.0,365,1,1,0,0,0,6
11186568,111,3,29,0.56,0,2,1,0,0,0,6
11189951,249,1,0,0.0,0,1,1,0,0,0,6
11190368,597,3,0,0.0,0,1,1,0,0,0,5
11197217,304,4,2,0.04,60,3,1,0,0,0,3
11197635,719,1,0,0.0,0,1,0,0,1,0,6
11199955,187,4,19,0.39,358,1,1,0,0,0,6
11201677,476,3,1,0.02,0,1,1,0,0,0,5
11206389,1106,20,0,0.0,0,1,1,0,0,0,3
11206757,357,1,8,0.35,364,1,1,0,0,0,0
11206821,398,1,0,0.0,0,1,1,0,0,0,5
11207082,398,2,74,1.43,180,2,1,0,0,0,9
11207952,1199,15,0,0.0,365,1,1,0,0,0,0
11209189,1200,2,0,0.0,364,1,1,0,0,0,3
11210134,72,1,0,0.0,0,1,0,0,1,0,3
11211050,664,1,0,0.0,0,1,1,0,0,0,9
11211112,249,2,0,0.0,365,2,0,0,1,0,3
11211383,1499,3,4,0.09,363,2,1,0,0,0,3
11211462,192,1,0,0.0,365,1,0,0,1,0,8
11212083,979,3,6,0.13,365,1,1,0,0,0,3
11215810,121,2,36,0.73,54,1,1,0,0,0,3
11217973,176,3,13,0.76,114,1,1,0,0,0,3
11218016,649,1,1,0.14,365,1,1,0,0,0,6
11218601,119,1,0,0.0,365,1,0,0,1,0,3
11218976,332,10,0,0.0,0,1,1,0,0,0,9
11219154,448,2,1,0.02,0,2,0,0,1,0,3
11220598,1924,1,0,0.0,365,1,1,0,0,0,5
11220813,437,3,4,0.08,0,1,1,0,0,0,3
11221834,133,3,55,1.2,0,1,1,0,0,0,3
11222223,280,2,0,0.0,326,1,1,0,0,0,5
11222656,1649,1,0,0.0,365,1,0,0,0,1,2
11223482,498,7,0,0.0,0,1,1,0,0,0,6
11225383,1001,30,0,0.0,178,1,1,0,0,0,6
11225563,1001,15,0,0.0,364,1,1,0,0,0,6
11225912,199,3,78,1.7,89,1,1,0,0,0,9
11226211,299,1,0,0.0,0,1,1,0,0,0,6
11226635,1421,3,1,0.02,1,1,1,0,0,0,5
11227283,1698,7,0,0.0,0,1,1,0,0,0,6
11227513,553,1,0,0.0,365,1,0,0,1,0,3
11228301,599,2,5,0.15,365,1,1,0,0,0,6
11232006,50,1,11,0.22,365,3,0,0,0,1,3
11233852,248,1,3,0.09,0,5,0,0,1,0,5
11234627,110,2,47,0.94,82,1,1,0,0,0,3
11235447,1692,18,0,0.0,0,1,1,0,0,0,6
11235710,1200,7,0,0.0,0,1,1,0,0,0,3
11236454,302,3,0,0.0,364,2,0,0,1,0,6
11236996,210,3,79,1.53,342,3,1,0,0,0,9
11237143,1200,1,0,0.0,0,1,1,0,0,0,6
11237490,110,1,33,0.67,54,2,0,0,1,0,5
11237985,282,3,1,0.02,363,3,0,0,1,0,3
11238335,119,3,2,0.04,363,3,0,0,1,0,9
11240363,1600,15,0,0.0,365,2,1,0,0,0,6
11241758,99,1,7,0.15,365,1,0,0,1,0,6
11241775,852,1,0,0.0,365,1,0,0,1,0,3
11242608,796,2,1,0.02,365,1,1,0,0,0,6
11247166,203,6,16,0.35,270,1,1,0,0,0,6
11248134,1200,1,0,0.0,0,1,1,0,0,0,5
11248363,248,2,12,0.29,267,1,1,0,0,0,3
11250207,540,1,0,0.0,365,1,0,0,1,0,5
11250281,299,15,0,0.0,0,1,1,0,0,0,5
11252153,1499,15,0,0.0,0,1,1,0,0,0,6
11252811,979,7,0,0.0,0,1,1,0,0,0,6
11252926,60,1,0,0.0,365,1,0,0,0,1,0
11253731,249,2,7,0.15,168,1,1,0,0,0,3
11254238,138,1,0,0.0,0,1,0,0,1,0,3
11254774,802,1,0,0.0,0,1,1,0,0,0,6
11255622,1502,1,0,0.0,364,1,1,0,0,0,3
11258272,393,4,1,0.02,0,1,1,0,0,0,9
11258894,431,5,1,0.02,0,1,0,0,1,0,6
11261002,702,10,1,0.02,88,1,1,0,0,0,3
11261099,199,2,0,0.0,0,1,1,0,0,0,3
